abate,"줄이다, 완화하다, 감소하다","subside, withdraw, drop"
arrogance,"거만, 불손, 오만","haughtiness, pride"
arrogant,"거만한, 건방진","haughty, proud, overbearing"
articulate,"명료한, 발음이 똑똑한","eloquent, well-spoken, fluent"
artifact,"인공물, 공예품","tool, craft"
artisan,"장인, 공예가","craftsman, artist"
ascendancy,"우위, 우세, 권세","rise, ascent, climb"
ascetic,"고행의, 금욕적인, 금욕주의의","austere, strict"
aspire,"열망하다, 높이 오르다","hope, aim"
assiduous,"끊임없는, 근면한","diligent, conscientious, hardworking"
assuage,"완화하다, 진정시키다, 달래다","soothe, relieve, cool, calm"
astute,"기민한, 영리한, 독창적인","clever, ingenious, perceptive"
atrophy,"쇠약, 감퇴","wasting, deterioration, weakening"
attribute,"속성, 특질","trait, characteristic, quality"
audacious,"대담한, 뻔뻔스러운, 무례한","daring, bold, risky"
augment,"증가시키다, 증대시키다","increase, expand, strengthen"
auspicious,"길조의, 상서로운","favorable, promising"
austere,"어만, 꾸밈없는, 간결한","severe strict, gaunt"
authentic,"믿을 만한, 진정한, 진짜의","genuine, true, verifiable"
authoritarian,"권위주의자, 독재주의자","dictatorial, commanding"
autonomous,"자치적인, 독립된, 자율적인","independent, free"
avarice,"탐욕, 허욕","greed, money lust"
aversion,"싫음, 혐오, 반감","dislike, fear, distaste"
avert,"돌리다, 비키다, 피하다","prevent, avoid, forestall"
banal,"진부한, 시시한, 평범한","trite, familiar, boring"
baneful,"파괴적인, 유독한","damaging, deleterious, detrimental, injurious, harmful"
barren,"불모의, 열매를 맺지 못하는, 불임의","unproductive, lifeless, sterile"
bastion,"능보, 요새, 성채","stronghold, fortress, citadel"
bear,"지탱하다, (의무, 책임을) 지다, 참다","carry, hold, withstand"
beguile,"속이다, 현혹시키다","deceive, trick"
belie,"속여 나타내다, 잘못 전하다, 모순되다","misrepresent, camouflage"
belittle,"흠잡다, 과소평가하다","insult, denigrate, condemn"
belligerent,"호전적인, 교전중인","warlike, hostile, threatening"
benefactor,"은인, 후원자","supporter, donor, protector"
benevolent,"자애로운, 인정 많은, 자선을 위한","friendly, kind, supportive"
benign,"친절한, 온화한","kind, friendly, favorable"
bequeath,"유언으로 증여하다, (후세에) 남기다","leave, sign away"
bias,"성향, 선입견, 편견","prejudice, preference"
blasphemy,"신성모독, 불손한 언동",irreverence
bleak,"황량한, 삭막한, 차가운","desolate, depressing, gloomy"
blighted,"마른, 시든","withered, shriveled"
blithe,"즐거운, 쾌활한, 경솔한","carefree, unconcerned, happy"
blueprint,"청사진, (세밀한) 계획","plan, scheme, outline"
bolster,"덧베개로 받쳐주다, 북돋우다","support, reinforce, strengthen"
braggart,"허풍선이, 호언장담가","boaster, self-promoter"
brawn,"근육, 완력","strength, might, muscularity"
brevity,"짧음, 간결","shortness, succinctness"
buttress,"버팀벽, 지지물","support, brace"
cacophonous,"귀에 거슬리는, 불협 화음의","noisy, uproarious"
cajole,"구슬리다, 부추기다","appeal, plea, push"
calculated,"계산된, 계획된","planned, deliberate"
candid,"솔직한, 숨김 없는","sincere, honest"
candor,"솔직, 허심탄회, 공평무사","honesty, frankness"
capricious,"변덕스러운, 불안정한","unpredictable, flighty, fickle"
cardiologist,심장(병)학자,"heart doctor, heart specialist"
carping,"트집잡는, 잔소리가 심한","complaining, nagging"
caustic,"부식성의, 신랄한","sarcastic, biting"
censorious,"지나치게 비판적인, 까다로운","critical, nasty"
censure,"비난, 책망, 혹평","criticism, condemnation"
certitude,"확신, 확실(성)","certainty, sureness"
charlatan,허풍선이 돌팔이 의사,"fraud, faker"
circumlocution," 완곡어법, 둘러대는 표현","evasion, digression, rambling, tautology, vagueness"
circumspect,"신중한, 주의깊은, 용의주도한","careful, cautious, deliberate, guarded, prudent, vigilant"
clarify,"뚜렷하게 하다, 명백히 하다","elucidate, explain"
cliché,"판에 박은 문구, 진부한 표현",platitude bromide
coalesce,"유착하다, 합동하다, 연합하다","unite, unify"
coercion,"강제, 강압, 탄압 정치","force, pressure"
colloquial,"구어체의, 일상 회화의","informal, free"
combustible,"가연성의, 흥분하기 쉬운","burnable, flammable"
commemorate,"(축사, 의식으로) 기념하다, 축하하다","observe, mark, honor"
compile,"하나로 모으다, 수집하다, 편집하다","collect, gather"
complacency,"(부정적) 자기 만족, 만족을 주는 것","self-satisfaction, smugness"
complacent,"자기 만족의, 개의치 않는","self-satisfied, smug"
complementary,"서로 보완하는, 보충하는","supplementary, additional, compatible"
compliance,"응낙, 수락, 순종","obedience, submission, subordination"
compliant,"유순한, 고분고분한","obedient, submissive, subordinate"
composure,"침착, 평정","calmness, coolness"
comprehensive,"이해력 있는, 이해가 빠른, 포괄적인","extensive, complete"
compromise,"타협, 양보, 절충안","settlement, agreement"
concede,"인정하다, 허용하다","acknowledge, give, surrender"
conciliate,"달래다, 무마하다, 회유하다","appease, pacify"
conciliatory,"융화적인, 달래는, 회유적인","pleasant, reassuring"
concise,"간결한, 간명한","short, brief, succinct"
concur,"일치하다, 동의하다","agree, acknowledge, admit, concede, recognize, accede, acquiesce"
condense,"응축하다, 요약하다","shorten, reduce, edit, cut"
condescend,"자기를 낮추다, 창피를 무릅쓰고 ~하다","stoop, deign"
condone,"용서하다, 묵과하다","excuse, pardon"
confine,"제한하다, 한하다, 감금하다","enclose, impound, isolate, jail, sequester, limit, regulate, restrain, restrict"
conflagration,큰 화재,"fire, blaze"
confluence,"합류, 집합","convergence, union"
confound,"혼동하다, 당황케 하다","confuse, disrupt"
congenial,"마음이 맞는, 기분 좋은, 친절한","friendly, hospitable, welcoming"
conjecture,"짐작, 추측, 억측","guess, speculation"
consensus,"일치, 합의, 여론","agreement, majority view"
consolidate,"결합하다, 합체시키다, 공고히 하다","combine, incorporate, merge, unite, compress, concentrate"
conspicuous,"눈에 띄는, 잘 보이는, 두드러진","outstanding, bold, prominent"
constraint,"강제, 제한, 억제","limitation, limit, bound"
contempt,"경멸, 멸시, 업신여김","scorn, disdain"
contend,"싸우다, 논쟁하다, 주장하다","argue, dispute"
contentious,"싸우기 좋아하는, 논쟁의 여지가 있는","quarrelsome, argumentative"
contrite,"죄를 깊이 뉘우치는, 회개의","sorry, regretful"
contrive,"연구하다, 고안하다, 설계하다","concoct, devise, fashion, improvise, invent"
converge,"한 점에 모이다, 집중하다","meet, unit"
conviction,"유죄 판결, 확신, 신념","belief, persuasion"
cordial,"마음에서 우러난, 애정 어린","sincere, friendly"
corroborate,"확증하다, 뒷받침하다","support, reinforce, strengthen"
corrode,"부식하다, 부패하다","rust, dissolve, eat away, destroy"
corrugated,"물결 모양의, 주름이 있는","folded, ripped"
corrupt,"부정한, 부패한, 타락한","immoral, depraved"
credulity,"너무 쉽게 믿는 성질, 경신","naiveté, gullibility"
credulous,"잘 믿는, 잘 속는","naïve, gullible"
criterion,"표준, 기준","rule, guideline, test"
crucial,"결정적인, 중대한, 엄격한, 어려운","critical, decisive, determining, important, significant"
cryptic,"숨은, 신비스러운, 애매한","puzzling, mystifying, mysterious"
culpable,"과실 있는, 비난할 만한, 유죄의","guilty, blameworthy"
cursory,"서두르는, 피상적인","hasty, careless, quick"
curtail,"단축하다, 생략하다","reduce, cut short, abbreviate"
dearth,"부족, 기근","lack, absence, shortage"
debilitate," 약하게 하다, 쇠약하게 하다","weaken, enervate, wear out"
debunk,정체를 폭로하다,"discredit, disprove, mock"
decorum,"단정, 예의바름","propriety, dignity, politeness"
deference,"복종, 존경","respect, subordination, courtesy"
degradation,"좌천, 하락, 파면","shame, depravity, deterioration"
dehydrate,"탈수하다, 건조시키다","desiccate, dry out"
deleterious,"해로운, 유독한","harmful, damaging, injurious"
deliberate,"신중한, 사려 갚은, 고의적인","intentional, conscious, planned"
delineate,"윤곽을 드리다, 묘사하다","sketch, outline, depict"
denounce,"비난하다, 고발하다","condemn, attack, decry"
deplete,"격감시키다, 고갈시키다","use up, exhaust, consume"
deplore,"비탄하다, 비난하다","condemn, complain, bemoan, bewail"
depose,"면직하다, 퇴위시키다","dethrone, unseat, expel, recall, remove"
depravity,"타락, 부패, 악행","immorality, corruption"
deprecate,"반대하다, 비난하다","belittle, condemn"
deprive,"박탈하다, 빼앗다, 해임시키다","despoil, rob, bereave, dispossess, divest, remove"
deride,"비웃다, 조롱하다","mock, lampoon, make fun of"
derivative,"끌어낸, 유도적인, 모방한","unoriginal, copied, imitated"
desecrate,"신성을 더럽히다, 속되게 쓰다","profane, violate, defile"
desiccate,"건조시키다, 무기력하게 하다","dry, dehydrate"
despondent,"의기소침한, 낙담한","gloomy, sad, depressed"
detached,"독립된, 사심 없는","separate, free, uninvolved"
deter,"단념시키다, 방해하다","warn, prevent, discourage"
determined,"단호한, 굳게 결심한, 확정된","committed, motivated, focused, resolute"
deterrent,"방해물, 단념하게 하는 것","warning, preventative, disincentive, shield"
detrimental,"해로운, 불리한","harmful, hurtful, destructive"
devious,"구불구불한, 솔직하디 않은, 사악한","deceitful, dishonest, shifty"
devise,"궁리하다, 고안하다","make, invent, create"
devotion,"헌신, 전념, 헌납","dedication, loyalty, commitment"
didactic,"교훈적인, 설교적인","educational, instructional"
diffidence,"자신이 없음, 기가 죽은","shyness, timidity"
diffident,"자신 없는 소심한, 삼가는","shy, timid, retiring"
diffuse,"널리 퍼진, 흩어진","loose, fuzzy, indistinct, unconcentrated, dispersed"
digress,"벗어나다, 빗나가다","depart, deviate, wander"
digression,"본론을 벗어남, 여담, 탈선","departure, deviation, aside"
dilatory,"느린, 늦은, 시간을 끄는","slow, late, tardy, lagging"
diligence,"근면, 부지런함","dedication, assiduity, patience, commitment"
diminish,"줄이다, 감소하다","shrink, drop, reduce, decline, ebb, fall"
diminution,"감소, 축소","reduction, shrinkage, decrease"
discerning,"통찰력 있는, 총명한","perceptive, aware, alert, observant"
discernment,"인식력, 판별력","perception, awareness, sharpness"
disclose,"드러내다, 폭로하다","reveal, release, publicize, announce"
discord,"불화, 불일치, 불협화음","dissent, disharmony, disorder, protest, disagreement"
discordant,"일치하지 않는, 사이가 좋지 않은","sour, harsh, disharmonious, unsettling, upsetting, disturbing"
discrepancy,"불일치, 모순","inconsistency, disagreement"
discriminate,"구별하다, 차별하다","discern, differentiate"
discriminating,"구별할 수 있는, 식별력 있는, 차별적인","sensitive, selective, tasteful"
disdain,"경멸하다, 멸시하다","contempt, scorn"
disinclination,"싫증, 마음이 안 내킴","unwillingness, reluctance, hesitancy"
dismiss,"해산시키다, 해고하다","discharge, fire, release"
disparage,"얕보다, 헐뜯다","insult, denigrate, condemn"
disparate,"본질적으로 다른, 이종의","different, distinct, dissimilar"
disparity,"부동, 불일치, 불균형","difference, inequality"
dispassionate,"냉정한, 공정한","emotionless, unbiased, impartial"
disperse,"흩어지게 하다, 분산시키다","scatter, distribute"
dispose,"배치하다, 처리하다","arrange, array, order"
disputatious,"논쟁적인, 논쟁을 좋아하는","argumentative, quarrelsome, contentious"
disseminate,"흩뿌리다, 퍼뜨리다","spread, scatter, distribute"
dissent,"의견 차이, 불찬성","disagreement, argument"
distant,"먼, 아득한","far, remote, separate"
distend,"넓히다, 과장하다","swell, bulge"
distinguish,"구별하다, 분간하다","differentiate, discern, discriminate"
divergent,"다른, 갈라지는, 발산하는","different, irregular, unlike"
diverse,"다른 종류의, 다양한","different, dissimilar, unlike, varying"
divert,"딴 데로 돌리다, 전화하다","deflect, redirect, reroute"
divulge,"비밀을 누설하다, 밝히다, 공표하다","disclose, impart, relate, reveal, acknowledge, admit"
docile,"다루기 쉬운, 유순한","manageable, obedient, pliant, submissive, teachable"
doctrine,"주의, 이론, 교리","principle, policy, teaching"
document,"문서, 서류","paper, record, file"
dogmatic,"교리상의, 독단적인","strict, rigid, doctrinaire"
drone,"게으름뱅이, 윙윙거리는 소리, 수벌","idler, slacker, buzz, hum"
dubious,"수상한, 의심스러운","questionable, uncertain, unreliable"
dupe,속이다,"deceive, trick, mislead"
duplicity,"표리부동, 일구이언","trickery, dishonesty, deception, misrepresentation"
durable,"영속성 있는, 튼튼한","tough, rugged, stout, long-lasting"
dwindle,"줄다, 작아지다, 축소되다","curtail, decrease, lessen, reduce"
ebullient,"용솟음치는, 열광적인","outgoing, merry, joyful"
eccentric,"별난, 괴상한","odd, strange, abnormal, unusual"
eclectic,"폭넓은, 절충적인","mixed, varied, heterogeneous"
edify,"신념을 기르다, 교화하다","teach, instruct, inform"
efface,지워 없애다,"hide, conceal, erase"
effectual,"효과적인, 유효한, 충분한","adequate, effective"
effervescence,"거품이 남, 흥분, 활기","foaminess, bubbliness, ebullience"
effervescent,"거품이 나는, 흥분한, 활기 있는","foamy, bubbly, ebullient, joyful"
egotistical,"자기의 일만 하는, 자기 중심의","self-centered, conceited"
elaborate,"공들인, 복잡한, 정교한","intricate, complex, ornate"
elated,의기양양한 매우 기뻐하는,"overjoyed, delighted"
elegance,"우아, 고상","grace, beauty"
elegy,"애가, 비가","lament, threnody"
elicit,"도출하다, 이끌어 내다","evoke, provoke"
eloquence,"웅변, 말재주","articulateness, expressiveness"
elucidate,"해명하다, 설명하다","clarify, explain"
elusive,"붙잡기 어려운, 피하는, 달아나는","evasive, slippery, uncatchable, vague, undefined, ambiguous"
emaciated,"수척한, 여윈, 메마른","gaunt, wasted, thin, skeletal"
embellish,"꾸미다, 장식하다","color, decorate, dress up, elaborate, ornament"
embrace,"껴안다, 받아들이다","hug, hold"
emend,"교정하다, 수정하다","amend, redo, revise, rewrite"
emulate,"경쟁하다, 모방하다","copy, imitate"
endorse,승인하다,"sign, approve, authenticate, support"
endurance,"지구력, 내구성, 인내력","stamina, persistence, longevity"
engender,"생기게 하다, 일으키다","produce, originate, procreate"
enhance,"높이다, 강화하다","advance, improve, increase"
enigma,"수수께끼, 불가사의한 일","mystery, puzzle, riddle"
enlighten,"계몽하다, 설명하다, 가르치다","teach, instruct, inform"
enmity,"적의, 원한","animosity, hatred"
enthrall,마음을 사로잡다,fascinate transfix
entice,"꾀다, 유혹하다, 부추기다","beguile, induce, lure, tempt, allure, attract, fascinate, seduce"
ephemeral,"하루뿐인, 순식간의","brief, short-lived, temporary"
equanimity,"평정, 침착, 균형","aplomb, composure, coolness"
equitable,"공평한, 정당한","fair, evenhanded, impartial"
equivocal,"불확실한, 다의성의, 의심스러운","ambiguous, uncommitted, uncertain, doubtful"
eradicate,"뿌리째 뽑다, 박멸하다, 근절하다","abolish, annihilate, eliminate, exterminate"
erratic,"산만한, 괴상한, 엉뚱한","wandering, uneven, uncertain"
erroneous,"잘못된, 틀린","mistaken, incorrect, wrong"
erudite,"학식이 있는, 박식한","learned, scholarly"
esoteric,"난해한, 비밀의","abstruse, profound"
essential,"본질적인, 필수의","necessary, vital"
ethical,"윤리적인, 도덕적인","correct, proper, right, virtuous"
eulogy,"찬사, 칭찬, 송덕문","applause, praise"
euphemism,"완곡어법, 완곡어구","ambiguity, equivocation, hedge"
euphony,듣기 좋은 음조,"harmony, sweetness"
evanescent,"사라져 가는, 순간의","ephemeral, short-lived, temporary"
exacerbate,"악화시키다, 격화시키다","worsen, intensify"
exalt,"높이다, 칭찬하다","elevate, glorify, praise"
excerpt,"발췌, 인용","extract, sample, quotation"
execute,"실행하다, 사형에 처하다","perform, do, kill"
exemplary,"모범적인, 훌륭한","commendable, admirable, outstanding, excellent, model"
exemplify,"예시하다, 예증하다","epitomize, illustrate, represent"
exhaustive,"철저한, 소모적인","complete, comprehensive, extensive, thorough"
exhilarating,"기분을 돋우는, 상쾌한","energizing, refreshing, strengthening"
exonerate,"해방시키다, 면제하다","acquit, justify"
exotic,"이국적인, 외래의, 매혹적인","alien, foreign"
expedient,"도움이 되는, 적절한","appropriate, convenient"
expedite,"진척시키다, 신속히 처리하다","assist, ease, help, facilitate"
explicit,"명확한, 명시적인, 솔직한","clear, exact, precise, plain, unambiguous"
exploit,"개척하다, 개발하다, (부당하게) 이용하다","employ, use, abuse, manipulate"
expunge,"지우다, 파괴하다, 멸종시키다","delete, erase, undo"
extensive,"광범위한, 포괄적인","big, broad, comprehensive, inclusive, large, wide"
extirpate,"근절시키다, 박멸하다, 구조하다",destroy
extol,크게 칭찬하다,"celebrate, honor, praise"
extraneous,"비본질적인, 관계가 없는, 외래의","alien, foreign, outside"
extreme,"극도의, 과격한, 맨 끝의","farthest, outermost, utmost"
extricate,"구해내다, 해방시키다","clear, free, release"
exuberance,"풍부, 윤택","enthusiasm, joy, vivacity"
facilitate,"용이하게 하다, 촉진하다","assist, ease, expedite, help"
fallacious,"그릇된, 남을 현혹시키는","wrong, erroneous, deceptive, misleading"
fallow,"묵히고 있는, 휴경중인","idle, inactive"
falter,"움찔하다, 망설이다","hesitate, quaver, vacillate, waver, halt, stammer"
fanaticism,"열광, 광신","insanity, zeal"
fanatic,"광신자, 열광자","zealot, extremist"
fastidious,"까다로운, 세심한, 꼼꼼한","careful, picky, exacting, meticulous, conscientious"
fathom,"추측하다, 이해하다, 수심을 재다","comprehend, understand, grasp"
feasible,"그럴싸한, 있음직한","possible, practical"
fecund,"다산의, 비옥의, 풍성한","fertile, productive, prolific, blooming, flourishing"
feeble,"연약한, 힘없는, 박약한","decrepit, fragile, frail, weak, debilitated"
fell,"잔인한, 사나운, 무시무시한","cruel, deadly, sinister"
fertile,"기름진, 비옥한, 다산의","productive, prolific"
fervor,"열렬, 열정, 열성","eagerness, enthusiasm, intensity, passion, zeal"
fickle,"변하기 쉬운, 변덕스러운, 불안한","changeable, erratic, unpredictable, unstable"
fitful,"변하기 쉬운, 단속적인","intermittent, irregular, sporadic"
flagrant,"명백한, 악명 높은, 극악한","outrageous, scandalous, shameless, shocking"
florid,"불그레한, 화려한, 화사한","red, rosy, ruddy, flushed"
flourish,"번영하다, 무성하게 자라다","thrive, prosper, succeed"
flower,"꽃이 피다, 성숙하다, 번영하다","bloom, blossom, develop, unfold, prosper"
fluctuate,"오르다, 변동하다","alternate, change, oscillate, shift"
foliage,"잎, 군엽","foliation, leafage, leaves"
foolhardy,"무모한, 터무니없는","reckless, heedless, incautious, ill-advised, risky"
formal,"형식적인, 공식적인","ceremonious, polite, reserved, rigid, conventional, strict, codified"
fortuitous,"뜻밖의, 우연의, 행운의","accidental, inadvertent, fortunate"
frivolous,"천박한, 사소한, 불성실한","insignificant, trivial, insubstantial, lightweight"
frugality,"검소, 절약","economy, thrift, cheapness, parsimony"
furtive,"은밀한, 수상한","stealthy, secret, hidden, concealed, covert"
garrulous,"잘 지껄이는, 말 많은, 장황한","talkative, wordy"
gauge,"측정하다, 판단하다","calculate, calibrate, compute, estimate, measure"
gaunt,"몹시 여윈, 수척한","haggard, lean, skinny, emaciated, wasted, bony"
glacial,"얼음의, 빙하의, 차가운","cold, icy, wintry, slow, gradual"
glutton,"대식가, 폭식가","gourmand, (slang) pig, hog, chowhound"
gratify,"만족시키다, 기쁘게 하다","please, delight, gladden, satisfy, indulge"
gratuitous,"무료의, 불필요한","free, unearned, unnecessary"
gravity,"중력, 인력, 중대성, 진지함","attraction, pull, solemnity, seriousness, importance, significance"
gregarious,"떼지어 사는, 사교적인","sociable, outgoing"
guile,"교활, 꾀, 술책","trickery, deceit, cunning, dishonesty, sneakiness"
gullible,잘 속는,"credulous, naïve"
hackneyed,"낡아 빠진, 진부한","trite, overused"
hamper,"훼방하다, 방해가 되다","restrict, impede, interfere"
hangar,격납고,"shed, shelter, barn"
hardy,"단련된, 튼튼한","brave, bold, tough, rugged"
harness,자연력을 동력으로 이용하다,"use, utilize, exploit"
harsh,"엄격한, 가혹한, 거친","rough, severe, strong, strict"
hasten,"서두르다, 촉진하다","accelerate, hurry, speed"
haughtiness,"건방짐, 오만","arrogance, pride"
hedonist,쾌락주의자,"epicure, rake"
hedonistic,쾌락주의(자)의,"epicurean, sybaritic"
heed,"주의하다, 마음에 두다","listen, mark, note, notice, obey"
heresy,"이단, 이설, 반대론","dissent, nonconformity"
hierarchy,"계층제, 계층","government, administration, rank"
hindrance,"방해, 장애, 사고","obstacle, block, problem, interference"
homogeneous,"동종의, 동일성의","uniform, unvarying"
hopeless,"절망적인, 어찌할 수 없는","impossible, incurable, forlorn, despondent"
hue,"색조, 빛깔, 경향, 특색","cast, color, shade, tint"
humility,"겸손, 비하","modesty, lowliness, self-abasement"
hyperbole,"과장(법), 과장 표현","exaggeration, extravagance"
hypocrisy,"위선, 위선 행위","insincerity, deceit, duplicity"
hypocritical,"위선의, 위선(자)적인","insincere, deceitful, duplicitous"
hypothetical,"가설의, 가설에 근거한","conjectural, suggested, imaginary, conditional"
iconoclastic,"성상 파괴주의의, 인습 타파의","revolutionary, radical, dissenting"
idiom,"관용구, 숙어","colloquialism, expression"
idiosyncrasy,"특질, 특성, 특유의 표현","quirk, uniqueness, oddity"
ignominy,"면목없음, 불명예, 치욕","disgrace, humiliation, dishonor"
illicit,"불법의, 부정의","illegal, unlawful, criminal"
illusory,"착각을 일으키는, 현혹시키는, 가공의","fake, imagined, unreal"
immutable,"불변의, 바꿀 수 없는","changeless, constant, permanent, unchanging, unalterable"
impair,"감하다, 약화시키다, 손상시키다","harm, injure, damage"
impartial,"치우치지 않은, 공평한","fair, just, unbiased"
impeccable,"결점이 없는, 죄를 범하지 않은","ideal, perfect, flawless, faultless"
impecunious,"가난한, 무일푼의","poor, penniless, impoverished, bankrupt, destitute"
impede,"방해하다, 훼방놓다","block, hinder, oppose, stall, resist, obstruct"
implausible,"받아들이기 어려운, 믿기지 않는","unbelievable, unlikely, improbable, incredible"
implement,"도구, 용구, 수단","tool, utensil"
impose,"(의무, 벌, 세금을) 지우다, 강요하다","subject, inflict"
impregnable,"난공불락의, 견고한, 확고한","impenetrable, unconquerable, unbeatable, undefeatable"
impudence,"뻔뻔스러움, 무례, 건방짐","disrespect, insolence, rudeness"
impulsive,"충동적인, 추진력 있는","hasty, impetuous, quick"
inadvertent,"우연의, 의도하지 않은, 부주의한","accidental, unintentional, unplanned"
inadvertently,"부주의하게, 무심코, 우연히","accidentally, unintentionally"
inane,"얼빠진, 어리석은, 공허한","pointless, irrelevant, useless, empty"
inapt,"부적당한, 적당치 않은","unsuitable, improper, incompatible, unfit"
incessant,"끊임없는, 쉴새 없는, 부단한","constant, ceaseless, nonstop, endless, unceasing, never-ending, uninterrupted"
incidental,"부수하여 일어나는, 우연히 일어나는","casual, chance"
incisive,"신랄한, 날카로운, 예리한","keen, sharp, penetrating, sarcastic"
incite,"자극하다, 격려하다, 유발하다","induce, instigate, provoke, start"
inclusive,"포함한, 모든 것을 포함한, 포괄적인","comprehensive, overall, general"
incoherent,"모순된, 조리가 닿지 않는, 흐트러진","disjointed, jumbled, loose, scrambled, unconnected, uncoordinated"
incongruous,"일관성이 없는, 모순된, 어울리지 않는","inappropriate, inconsistent"
inconsequential,"중요하지 않은, 이치에 맞지 않는","unimportant, insignificant"
incontrovertible,"논쟁의 여지가 없는, 부정할 수 없는","indisputable, unquestionable, certain"
incorrigible,"구제할 길 없는, 고쳐지지 않는","hopeless, irreparable"
indefatigable,"지치지 않는, 근기 있는","diligent, tireless, untiring, unwearying"
indict,"기소하다, 고발하다, 비난하다","arraign, charge, incriminate"
indifferent,"무관심한, 중요치 않은","aloof, apathetic, uncaring, unconcerned"
indigenous,"토착의, 원산의, 자생의, 타고난","endemic, local, native, inborn"
indiscriminate,"분별없는, 마구잡이의","careless, assorted, haphazard, miscellaneous"
indolence,"게으름, 나태","laziness, sloth"
indolent,"게으른, 나태한","lazy, slothful"
induce,"권유하다, 야기하다","cause, produce, stimulate"
indulgent,"멋대로 하게 하는, 관대한","lenient, permissive, tolerant, lax, soft"
ineffable,말로 표현할 수 없는,"indescribable, inexpressible"
inept,"부적당한, 무능력, 서투른","awkward, clumsy, gauche, incompetent, ungainly"
inert,"둔한, 활발하지 못한","immobile, inactive, nonreactive, unmoving"
inevitable,"피할 수 없는, 부득이한","unavoidable, unstoppable, unalterable"
inexorable,"냉혹한, 굽힐 수 없는","unchangeable, unalterable, unyielding, cruel, merciless, relentless"
infamous,"수치스러운, 악명 높은","notorious, villainous"
ingenious,"재간 있는, 영리한, 정교한","clever, inventive, resourceful"
