fish,물고기|어류|생선|고기잡이하다|어업의
entitle,자격을 주다|제목을 붙이다
factory,공장|제조소|회사|팩토리
busy,바쁜|분주한|붐비다|통화 중인
view,보기|견해|관점|전망|간주하다
due,예정인|정당한|때문에|인해|세금
receive,받다|얻다|수상하다|접수하다|당하다
capital,자본|수도|자금|자산|대문자
delivery,분만|배달|배송|운송|인도
earning,얻다|소득|벌다
display,디스플레이|(작품을) 전시하다|보여주다|표현하다|화면
present,현재의|제시하다|선물하다|보여주다|발표하다
consent,동의하다|승낙하다|이구동성으로
insurance,보험|보험금
hold out,견디다|지탱되다|유지되다
grow up,자라나다|성장|유년기를 보내다|어른이 되다|크다
in short,요컨대|간단히 말해|요약하면
all around,다재다능한|전반에 걸친|전면적인
after school,방과 후의|방과 후
no longer,더 이상 …이 아닌|이미 …아니다|더 이상…않다
on foot,걸어서|도보로|착수되어
well,잘|흠|충분히|우물|나은
without,…없이|…하지 않고
whole,전체|모든|전|완전히|전부
stand for,…을 나타내다|상징하다|대표하다
judge,판사|판단하다|평가하다|판결하다|심사하다
unfair,불공정한|부당한|불공평한|억울한
unexpected,예기치 않은
unemployment,실업
undertaking,사업|맡은|실시
take out,…을 꺼내다|인출하다|내가다
take care of,돌보다|관리|책임|신경쓰다|처리
take off,벗기다|이륙하다|시작하다|풀다|지우다
summary,요약|개괄|약식|성명
suggest,제안하다|시사하다|제시하다|암시하다|제의하다
suddenly,갑자기|순식간에
such,…같은|그러한|이러한|매우|그렇게
success,성공|성공한 사람|성과|달성|대히트
soon,곧|빨리|조만간|바로|금방
some,일부|몇|어떤|…중에는|약간
solve,해결하다|풀다|해소하다|처리하다|밝히다
slightly,약간|조금|가볍게
skill,기술|실력|기능|솜씨
singly,단독으로|하나씩|홀로
return,돌아오다|복귀하다|돌아가다|귀국|반환하다
retire,은퇴하다|퇴직하다|퇴역시키다|퇴임하다|물러나다
retail,소매|유통|판매|마트|매장
resume,재개하다|다시 시작하다|이력서|경력|되찾다
result,결국|결과|성과|효과|초래한다
restrict,제한하다|규제|금지하다|제약|통제
restrain,제한하다|자제하다|검거하다|금지하다|압박하다
reject,거부하다|거절하다|기각하다|받아들이지 않다|부인하다
region,지역|지방|지대
regard,관련되다|보다|간주하다|생각하다|여기다
refuse,거부하다|거절하다|쓰레기|사절하다
refresh,신선한|상쾌하게 하다|새로운|시원한| 되살리다
reach,도달하다|이르다|손을 뻗다|닿다|이루다
rather,…보다는|오히려|…대신|차라리|다소
rate,속도|비율|평가되다|요금|가격
raise,올리다|인상|높이다|제기하다|기르다
rail,철도|레일|난간|철로
quote,인용하다|전하다|발언|문구
permissible,허용되는|무방한|소지가 허가된
permanently,영구적으로|영원히|상시
periodical,정기 간행물|잡지|정기의
perform,공연하다|수행하다|연주하다|연기하다|노래하다
pension,연금|퇴직금|연기금|자산|펜션
penalty,처벌|벌금|페널티|불이익
overestimate,…을 과대평가하다|과대평가|…을 지나치게 많이 견적하다
pending,현안의|계류중인|미결|남아있는|당면한
patent,특허|보호|의장
participant,참가자|참여자|관계자|참석자|사람들
pace,속도|페이스|보조를 맞추다
overtime,초과 근무|시간 외의|잔업|연장전
oversee,감독하다|두루 살피다|감시하다
overload,과부하|…에 너무 짐을 많이 싣다|초과 적재
overcome,극복하다|이겨내다|해결|넘는|회복
loss,손실|잃음|감소|패배|사고
lightly,가볍게|살짝|쉽게|경솔히|들떠서
lift,들어 올리다|해제하다|엘리베이터|양력|향상시키다
liberally,자유롭게|관대하게|아낌없이
lessen,줄이다|완화하다|감소하다
lean,기대다|기울어지다|숙이다|성향|살코기
lax,느슨한|태만한|로스엔젤레스 공항
lack,부족|…이 없다|결핍|부재|모자라다
issue,문제|쟁점|이슈|사안|발행하다
irregular,불규칙의|비정상적인|비정규의|불안정
investigate,조사하다|수사하다|살피다
interest,관심|이자|이해관계
indicate,나타내다|가리키다|표시하다|지적하다|암시하다
identical,똑같은|동일한|일란성의|닮은
impress,인상|감명을 주다|감동시키다
important,중요한|중대한|소중한|주요한
import,수입하다|들여오다|중요하다
immediate,즉각적인|즉시|당장|시급한|직접적인
illustrate,설명하다|삽화를 넣다|예시하다
illiterate,문맹
unlawful,법에 어긋나는|적출이 아닌|불법적인
illegal,불법적인|위법인|법으로 금지된
horizontal,수평의|가로의|바로 누운
identify,확인하다|밝히다|알아보다|식별하다|찾아보다
friction,마찰|불화
freely,아낌없이|자유롭게|기꺼이
frequent,잦은|자주|빈번한|흔한|종종
fraud,사기|분식|부정|조작|위조
fragment,파편|분열하다|무리
fragile,취약한|깨지기 쉬운|부진한|쉽게 영향을 받는
foundation,재단|기반|창립|토대|파운데이션
forward,앞으로|전진하는|발전한|포워드|진보적인
forum,포럼|회의|토론회|회담|총회
formula,공식|방식|포뮬러 1|유동식|처방
former,전임의|과거의|전의|전자의
entrance,입구|입학|들어가기|현관
entire,전체의|내내|완전한|전반적인
enthusiasm,열정|열광|열망
enter,들어가다|입장하다|입력하다|참가하다|훈련시키다
enhance,향상하다|강화하다|증진|개선시키다|높이다
enforce,시행하다|…을 강요하다|집행하다|강력히 주장하다|금지하다
endorse,지지하다|통과시키다|광고하다|보증하다|지원
defect,결함|장애|탈주|이탈
dramatic,극적인|급격한|인상적인|드라마틱한|연극의
drain,배수하다|유출하다|소비하다|허사가 되다|마시다
domesticate,길들이다|재배할 수 있도록 하다|가정에 정들게 하다
dominant,지배적인|우세한|주도|우성|대부분
donation,기부|기증|헌혈|모금|성금
donor,기증자|증여자|제공자
double,2배의|두 배의|더블의|2중의|갑절
divide,나누다|분할하다|분열시키다|가르다|분리하다
diversify,…을 다양화하다|다각화하다|여러 가지로 변화시키다
diverse,다양한|다른|광범위한|여러 가지의|각계 각층의
distribute,나눠주다|배포하다|분배하다|공급하다|공유하다
distract,주의를 빼앗다|관심이 멀어지다|산만하게 하다|초점을 흐리다
right,권리|인권|옳은|맞는|바로
diagnose,진단하다|규명하다|원인을 규명하다
devise,마련하다|고안하다|계획|방법|대책
device,장치|기기|기구|고안|폭발물
develop,개발하다|발전하다|만들다|성장하다|발달하다
determined,결정된|결심한|생각|결의|의지
detergent,세제
deter,단념시키다|방해하다|저지하다
locate,위치하다|찾아내다|위치를 찾다|자리잡고 있다|발견하다
detect,찾아내다|감지하다|발견하다|검출하다|진단
destination,목적지|관광지|여행지|장소|목표
designed,계획적인|고의의|도형을 뜬
expensive,비싼|돈이 많이 드는|고가의|많은 비용|사치스러운
steep,가파른|급격한|경사|극단적인
pricey,값비싼
costly,값이 비싼|사치스러운|값비싼
corruption,부패|비리|부정|타락
correspondent,특파원|기자|일치하는
correspond,해당하다|일치하다|교신하다
correlate,상관물|서로 관련시키다|상관관계를 입증하다
core,핵심|코어|중요한|근원|핵
cooperate,협력하다|협조하다|협동하다
convoy,호송하다|호위대|호위함
convince,설득하다|확신시키다|납득시키다
carry,휴대하다|싣다|갖다|옮기다|운반하다
convey,전달하다|전하다|나타내다|의미하다
convert,전환하다|바꾸다|개조하다|개종하다|득점하다
conversion,전환|변화|환산|융합
convergence,집중성|한점에의 집합|집합함
conventional,전통적인|틀에 박힌|관습의
convention,협약|대회|컨벤션|회의|관습
convenience,편의|편리|편한|편익|용이함
contract,계약서|계약|맺다|수축하다|걸리다
continually,계속해서|지속적으로|끊임없이|자꾸
contest,대회|콘테스트|경쟁하다|선거
content,콘텐츠|내용|함유량|만족하는|목차
contain,함유하다|포함하다|담다|들어있다|담고 있다
consumption,소비량|소비|폐결핵
contact,접촉|연락|콘택트 렌즈|교제|시선을 마주치다
connection,연결|관계|관련|접속|연줄
considerable,상당한|꽤
consider,고려하다|생각한다|여기다|평가되다|간주하다
consequence,결과|영향|중요성|성과|대가
conquest,정복|승리|점령
conform,일치하다|따르다
conflict,갈등|분쟁|대립|전쟁
casual,캐주얼의|편한|평상복의|우연한|아무렇지 않은
case,경우|환자|사건|소송|상황
captive,감금된|포로|어쩔 수 없는
candidate,후보자|지원자|수험생
barter,교환|흥정|거래|팔다
barely,거의 …않다|겨우|간신히
bankruptcy,파산|부도
prohibit,금지하다|막다|통제하다|방해하다
forbid,금지하다|용납하지 않다|어렵게하다
ban,금지|못하다|규제|반대|금하다
banner,현수막|배너|기치|대표
balance,균형|조화|잔고|안정
awfully,아주|상당히|너무
award,상|수여하다|어워드|상금
avalanche,사태|눈사태
available,이용할 수 있는|이용 가능한|시간이 있는|유효한|유용한
automate,자동화하다|오토메이션화하다|오토메이션 기술을 사용하다
authorization,위임|허가|권한 부여
authority,당국|권한|권위자|권위|권력
authentic,진정한|진짜의|실제의|믿을 만한
audit,감사|단속|청강|세무조사
auction,경매|…을 경매하다|…을 경매에 부치다
attractive,매력적인|매혹적인
attorney,변호사| 지방 검사|법무장관| 위임장|법정대리인
attentive,주의 깊은|세심한|친절한
attention,관심|주의력|주의|주목|집중
attendee,참석자|출석자
attendant,승무원|종업원|참석자|수행원
attendance,관객|참석|출석|돌봄
instruction,교육|지시|방법|설명|교본
enclose,에워싸다|둘러싸다|동봉하다|첨부하다
attach,부착하다|붙이다|연결|달다|첨부하다
approach,접근하다|방법|접근법|다가오다|도달하다
appreciate,감사하다|고마워하다|오르다|이해하다|감상하다
designate,지정하다|지명하다|선정하다
nominate,지명하다|후보에 오르다|추천하다|임명하다
appoint,임명하다|지명하다|지정하다
apply,적용하다|지원하다|신청하다|응용하다|쓰다
amnesty,대사|특사|…에게 대사를 내리다
adversity,역경|재난|불운
advise,권하다|조언하다|알리다|…하는 게 좋다|상담하다
advent,출현|도래|등장|일어남|대림절
alive,살아 있는|계속하여|생기에 넘치는|생생한|이 세상의
alert,경계|주의하다|알림|집중하다|기민한
agreement,협정|합의|계약|동의|조화
agenda,의제|과제|안건|아젠다|정책
affect,영향을 주다|작용하다|감염시키다|…체하다
advantage,이점|우위|유리|이익|혜택
accumulation,축적|누적|축적물
accurately,정확하게|그대로
admission,입학|입원|인정|입장|승인
adjourn,휴회하다|회의를 연기하다
adjust,조정되다|적응하다|감안하다|조절하다|맞추다
adhere,고수하다|들러붙다|달라붙다
address,주소|해결하다|연설하다|이야기하다|부르다
addition,추가|덧셈|증축|등재
acquire,얻다|인수하다|배우다|갖다|구입하다
adapt,적응하다|변화|적용|각색하다|바꾸다
advisable,타당한|현명한|권할 만한
at the same time,동시에|하면서|같은 시간|역시|한번에
meanwhile,"the time between one event, process, or period and another"
tension,긴장|팽팽함|갈등|불안
further,더|더 나아가|더 멀리|그 이상의|게다가
refrain,자제하다|삼가다|후렴
stress,스트레스|강조하다|압박|중점을 두다
ease,완화하다|쉬움|덜어주다|진정시키다|풀다
declare,선언하다|말하다|주장|선고하다|신고하다
forecast,예상|전망하다|예보|내다보다
prevent,막다|방지하다|예방하다|못하게 하다|금지하다
severe,심각한|무거운|크게|가차없는|엄격한
order,명령하다|질서|주문하다|순서|제도
emergency,응급|비상|긴급한|위기|급변
sweep,휩쓸다|청소하다|압승하다|조사하다
freeze,동결|냉동하다|얼다|멈추다|굳히다
respective,각각의|각자의|…에 따라|저마다의|존경스러운
disguise,위장|변장|가장하다|숨기다|사칭
counter,대응|대책|카운터|반대의|역행
outline,윤곽|개요|…의 윤곽을 그리다
remain,남다|머무르다|잔존하다|살아남다|체류하다
dialogue,대화
temporary,일시적인|비정규직|임시의|가설|한시
finance,재정|금융|자금|재무|재원
effort,노력|작업|활동
forth,앞으로|밖으로|이후
inflation,인플레이션|물가 인상|증가|부풀리기
stock,주식|증권|스톡|재고
expected,예상된|보인다|기대된|전망|예정
strategy,전략|방법|계획
agriculture,농업|축산
feature,특징|기능|출연하다|특집|얼굴
economic,경제의|경기의
export,수출|수출액|수출품
accomplishment,성취|업적|완성
social,사회의|소셜|사교적인|사회주의의|사귀는
political,정치의|정계의|정당의|정략의
attend,참석하다|다니다|주의하다|돌보다
familiar,익숙한|친숙한|잘 아는|낯익은
mimic,흉내내다|흉내쟁이|가짜의
stimulating,활기를 주는|자극을 주는|자극적인
gradually,점차적으로|점진적으로|서서히|점점
grow,성장하다|자라다|증가하다|크다|늘다
childhood,유아기|어린 시절|소아기|아동기|유년기
various,다양한|여러가지의|많은|얼룩덜룩한
found,발견했다|찾아냈다|알아냈다|만났다|설립하다
through,통하여|지나서|겪다|통과|사이로
opportunity,기회|찬스
share,공유하다|나누다|점유하다|주식|주가
poor,가난한|빈곤한|불쌍한|빈약한|부족한
deep,깊은|심|매우|딥|많다
riverside,강변|강기슭|리버사이드
valley,계곡|골짜기|유역
host,개최하다|주최하다|진행자|다수의|숙주
challenge,도전|문제|난제|이의를 제기하다|자극하다
along,함께|…을 따라|동안에|가지고|계속
needle,바늘|침|주사
thread,실|옷|가는 선|공통된 주제
permission,허가|허락|허용|승인|동의
impression,인상|생각|흉내
servant,공무원|서번트|하인|종|노예
secretary,장관|비서|차관|서기|간사
aide,측근|보좌관|참모|조력자|부관
assistant,조수|보조|비서|보좌의
director,관리자|감독
principal,교장|주된|원금|주요한
unbeliever,회의자|믿지 않는 사람|신앙 없는 사람
unknown,미지의|알려지지 않은|무명의|새로운|파악되지 않은
unplug,마개를 뽑다|…에서 전원을 끊다|장애물을 제거하다
pull,당기다|끌다|철수시키다|뽑다|빼다
plug,플러그|꽂다|막다|마개
hopeful,희망적인|기대하는|유망한|가망있는
skillful,능숙한|솜씨 있는|숙련된
authorship,저작업|원작자임|출처
citizenship,시민권|국적
scholarship,장학금|학문
ownership,소유권|지분|지배권
censorship,검열|언론 검열제도|검열관의 직위
existence,존재|현존|생존|생활|실체
unconscious,무의식의|의식을 잃은
censor,검열|통제|금지|감시|심의
daily,일상적인|매일의|데일리|날마다
journalist,기자|언론인|저널리스트
quotient,상|몫|할당
intelligence,지능|정보|지성|지적|첩보
hug,껴안다|포옹하다
physical,물리의|신체의|육체의|물질의|몸의
emotional,감정적인|감정의|감정에 호소하는
remote,원격의|먼|외딴|리모컨|희박한
community,사회|공동체|커뮤니티|군집|단체
avatar,아바타|분신|화신
shepherd,양치기|셰퍼드|목자
climax,절정|최고점|클라이맥스|극상
delay,지연시키다|연기하다|지체시키다|미루다|늦추다
complain,불평하다|호소하다|고발하다|투덜거리다
cart,카트|수레|마차
damage,손상|피해|손해|배상금|해치다
pair,한 쌍|한 벌|짝지어주다|2인조
hold,열다|보유하다|잡다|기다리다
leadership,리더십|지도력|대표|권력|선도
explosion,폭발|급증|혁신
nuclear,핵의|원자력|원전
submarine,잠수함
novelty,새로움|신기함
safety,안전|안정성|보호|보안
honesty,정직|솔직|양심|청렴결백
uncertainty,반신반의|불확실|확신이 없음
overcook,…을 지나치게 삶다
ambulance,구급차|앰뷸런스
pass,통과하다|지나가다|사망하다|패스|통하다
pepper,고추|후추|페퍼|피망|퍼붓다
bake,굽다
fried,튀긴|프라이|취한
misgiving,불안|의혹
worry,걱정하다|우려하다|염려|고민하다|불안
concern,우려|관한|걱정|문제|관심사
anxiety,불안|걱정|염려|근심|긴장
turnip,순무|무|유행에 뒤떨어진 대형 회중 시계
green pepper,피망|양고추
cucumber,오이|덩굴 식물 및 그 열매
spinach,시금치|그 잎|돈
lettuce,상추|쌈채소|레터스
eggplant,가지
onion,양파
mushroom,버섯|우후죽순격의
production,생산|제작|제품|프로덕션
cabbage,양배추
bang,굉음|두드리다|충격|훌륭히|값어치를 하는 물건
crash,충돌하다|추락하다|붕괴하다|폭락|무너짐
shatter,산산이 부서지다|파괴|분쇄하다|풍비박산
smash,부서지다|충돌하다|깨다|큰 성공|박살내다
hit,치다|히트를 치다|타격|달하다|부딪히다
typhoon,태풍|폭풍|제2차 세계 대전 당시 영국 폭격기 이름
batter,타자|공격하다|반죽
pan,팬|프라이팬|냄비
away,떨어져|멀리|당장|떠나|사라져
undergo,받다|겪다|진행하다|…을 견디다
soulful,감정이 깃들어 있는|감동적인|정열적인
flow,유동|흐름|몰입|유입|플로우
current,현재의|전류|현행의|지금의|해류
trio,삼중창|삼중창단|트리오
leather,가죽|피혁
wear,입다|착용하다|옷|닳다|쓰다
create,만들다|만들어 내다|창조하다|제작하다|형성하다
envy,부러워하다|질투하다|선망
green,녹색의|환경 친화적인|푸른|잔디|야채의
build,건축하다|만들다|짓다|개발하다|기르다
gorgeous,멋진|우아한|예쁜|화려한
fashionable,유행의|멋있는|패션 감각이 있는
stylish,유행의|멋진|유행에 맞는
shipyard,조선소
backyard,뒤뜰|세력 범위
courtyard,마당|안뜰
across,… 전역에서|가로질러서|걸쳐서|건너다|지름으로
greenfly,자주진딧물|열광적인 야구팬|진딧물
mayfly,하루살이|제물낚시 바늘
dragonfly,잠자리
firefly,반딧불|반딧불이|반디|개똥벌레
elegant,우아한|훌륭한
suitable,적합한|적절한|적당한|알맞은
